player_name,position,team,conf,games_played,game_min_%,pts_per_game,field_goal_% ,3_pt_%,Free_throw_%,offensive_rebound_per_game,defensive_ rebound_per_game,AST_per_game,stl_per_game,blk_per_game,offensive_rating,usage,classification,year
Jordyn Adams,Combo G,Lamar,WAC,19,55,9.35,40.4,0.314,0.909,1.9,10,14.4,2.2,0.6,88.3,21.7,Jr,2022
Daniel Mading,PF/C,UC Riverside,BW,15,14.8,1.9333,46.3,0.188,0.8,5.6,14.3,2.7,0.9,0.8,87.2,14.9,Sr,2022
Zyon Pullin,Scoring PG,UC Riverside,BW,22,77.3,12.2273,53.1,0.389,0.8,1.4,16,28.8,1.4,0.2,113,22.3,Jr,2022
Ibrahima Diallo,C,San Jose St.,MWC,5,0.9,0.2,0,0,0.25,32.9,10,0,0,10.2,70.2,22.1,Jr,2022
Reggie Parris,Wing G,USC,P12,5,0.3,0,0,0,0,0,26.9,37.1,0,0,0,0,Sr,2022
Andrew Barrett,PF/C,Drake,MVC,7,1.3,0.6667,50,0,0,24.2,48.1,11.6,0,0,139.2,16.4,Sr,2022
Issa Samake,C,Drake,MVC,25,19.9,2.1481,62.2,0,0.471,10.4,16.5,3.5,1.6,4.4,124.3,12.1,So,2022
Calvin Solomon,Wing F,Stephen F. Austin,Slnd,18,54.5,7.6667,54.8,0.667,0.733,8.4,15.7,7.7,3.6,5.2,102.9,18.4,Jr,2022
Charlie Daniels,C,Minnesota,B10,18,36.3,4.619,60.7,0,0.387,14.6,14.6,5.4,1.7,3.5,95.7,19.1,Sr,2022
Nate Ferguson,C,Drake,MVC,21,18.2,2.5217,59.5,0,0.556,7.4,9.6,1.5,2.3,3.8,106.4,14,So,2022
Joseph Yesufu,Combo G,Kansas,B12,29,60.4,12.8065,51.3,0.39,0.829,1,8,14.1,2.6,0.3,113.2,26.1,Jr,2022
Jordan Minor,PF/C,Merrimack,NEC,18,73,12,48.3,0.143,0.583,12.4,19.7,13.7,1.7,5.1,92.2,28.4,Jr,2022
Ziggy Reid,Stretch 4,Merrimack,NEC,18,74.2,11.5,50.9,0.292,0.815,1.6,19.2,8.8,2.3,4.2,94.8,21.8,Jr,2022
Jordan McKoy,Wing G,Merrimack,NEC,18,42.1,3,45.7,0.267,0.706,0.8,10.5,7.2,2.1,0,93.3,11.1,Jr,2022
Justin Connolly,PF/C,Merrimack,NEC,10,17.9,3.2,57.1,0,0.615,6.6,14.1,13.7,1.8,9.2,107.5,15.2,Sr,2022
Christian Koloko,C,Arizona,P12,26,43,5.2692,52,0,0.625,15.1,17.1,3.4,1.6,8.8,112.6,16.8,Jr,2022
Keyshaun Langley,Scoring PG,UNC Greensboro,SC,30,64.8,10.0333,48.4,0.322,0.775,1.2,6.6,23.1,2.5,0.6,105.5,21.3,Jr,2022
Isaac Stansbury,Pure PG,Mississippi St.,SEC,2,0.2,0,0,0,0,0,0,52.7,39.7,0,50.8,19.7,Jr,2022
James Glisson III,Wing F,Mercer,SC,23,48,7.5769,64,0.4,0.864,8.6,13.5,4.9,1.4,2.6,124.9,15.9,Jr,2022
Diego Rivera,Pure PG,Mercer,SC,6,3.8,0.5556,31.3,0.333,0,3.1,8.4,31.2,1.4,0,103,13.6,Jr,2022
Chase Johnston,Combo G,Stetson,ASun,24,81.2,13.4815,53.4,0.362,0.833,1.8,7.5,10.2,2.8,0.3,105.1,20,So,2022
Kamar Robertson,Wing G,Mercer,SC,20,25.3,3.8,55.6,0.391,0.538,1.8,10.9,9,2.4,0.8,100.9,15,Jr,2022
Donta Scott,Stretch 4,Maryland,B10,30,76.3,10.9677,60.2,0.44,0.671,4.5,18.3,13.8,1.4,3.3,113.4,19.1,Jr,2022
Babatunde Akingbola,C,Auburn,SEC,27,27.1,1.8889,48.9,0.25,0.348,13,12,2.9,1.7,8.4,92,12.3,Jr,2022
Makhi Mitchell,C,Rhode Island,A10,7,11.1,5.8571,46.2,0,0.607,6.1,25.8,3.4,2,3.9,89.9,21.9,Jr,2022
Makhel Mitchell,C,Rhode Island,A10,25,54.6,9.56,52.2,0,0.469,9.7,17.8,8.8,1,8.3,93.9,25.1,Jr,2022
